,Real Name,Weight and Height,Birthplace,Date of Birth,Debut,wrestler_name,Date of Death,Weight,Height
2903,unknown,159 lbs. (72 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",21st August 1986 (age 35),2001,Eléctrico,,,
552,Junji Hirata,254 lbs. (115 kg) at 6'0'' (1.83 m),"Hiratsuka, Kanagawa (Japan)",20th December 1956 (age 65),26th August 1978 (43 years ago),Super Strong Machine,,,
1872,unknown,231 lbs. (105 kg) at 6'1'' (1.85 m),"Machida, Tokyo (Japan)",1st October 1982 (age 39),3rd May 2003 (18 years ago),KAZMA SAKAMOTO,,,
432,Ryan Sakoda,240 lbs. (109 kg) at 6'0'' (1.83 m),"Tokyo, Tokyo (Japan)",31st December 1972,1998,Ryan Sakoda,2nd September 2021,,
618,Rieko Amano,121 lbs. (55 kg) at 5'2'' (1.57 m),"Shimizu, Shizuoka (Japan)",16th March 1976 (age 45),4th December 1994 (27 years ago),Carlos Amano ,,,
1070,John Costa,216 lbs. (98 kg) at 5'7'' (1.70 m),"Vancouver, British Columbia (Canada)",20th November 1983 (age 38),6th September 1998 (23 years ago),Quiet Storm,,,
2897,unknown,194 lbs. (88 kg) at 5'9'' (1.75 m),"Ciudad de México, Ciudad de México (Mexico)",13th June ???,16th September ???,Ultramán Jr.,,,
5556,unknown,209 lbs. (95 kg) at 6'2'' (1.88 m),"Liverpool, Merseyside, England (United Kingdom)",5th May 1970 (age 51),??th June 1990,Frankie Sloan,,,
8133,Caol Uno,145 lbs. (66 kg) at 5'7'' (1.70 m),"Yokosuka, Kanagawa (Japan)",8th May 1975 (age 46),4th October 1996 (25 years ago),Caol Uno,,,
12373,Samuel Gradwell,,"Blackpool, Lancashire, England (United Kingdom)",,20th February 2009 (13 years ago),Sam Gradwell,,,
18889,unknown,,"Ciudad de México, Ciudad de México (Mexico)",28th December 1990 (age 31),2008,Lolita ,,,
721,Christopher Todd Mordetzky,257 lbs. (117 kg) at 6'4'' (1.93 m),"Santa Monica, California (United States of America)",8th January 1983 (age 39),15th August 2002 (19 years ago),Chris Masters,,,
476,Wayne Bloom,244 lbs. (111 kg) at 6'1'' (1.85 m),"Minneapolis, Minnesota (United States of America)",22nd March 1958 (age 63),1986,Wayne Bloom,,,
7044,Joseph Ruby,249 lbs. (113 kg) at 6'0'' (1.83 m),"Franklinville, New Jersey (United States of America)",8th August 1987 (age 34),29th July 2006 (15 years ago),Joe Gacy,,,
3010,Diana Joyce Hart,,"Calgary, Alberta (Canada)",8th October 1963 (age 58),,Diana Hart ,,,
36025,Jordan Omogbehin,400 lbs. (181 kg) at 7'3'' (2.21 m),Lagos (Nigeria),16th May 1994 (age 27),18th July 2019 (2 years ago),Omos,,,
735,Keith A. Franke,310 lbs. (141 kg) at 5'11'' (1.80 m),"Buffalo, New York (United States of America)",15th September 1954,1974,Adrian Adonis,4th July 1988,,
16366,Fale Simitaitoko,308 lbs. (140 kg) at 6'4'' (1.93 m),Tonga,8th January 1982 (age 40),4th April 2010 (11 years ago),Bad Luck Fale,,,
3007,Lacey Adkisson,,"Dallas, Texas (United States of America)",17th July 1985 (age 36),2007,Lacey Von Erich ,,,
111,Shoichi Funaki,180 lbs. (82 kg) at 5'7'' (1.70 m),"Tokyo, Tokyo (Japan)",24th August 1968 (age 53),1990,FUNAKI,,,
14093,William Arturo Muñoz González,216 lbs. (98 kg) at 6'0'' (1.83 m),"Tala, Jalisco (Mexico)",29th September 1988 (age 33),29th July 2007 (14 years ago),Rush,,,
168,Jerry Tuite,340 lbs. (154 kg) at 6'10'' (2.08 m),"Ocean Grove, New Jersey (United States of America)",27th December 1966,1994,Jerry Tuite,6th December 2003,,
3545,Tim Suxdorf,236 lbs. (107 kg) at 6'7'' (2.01 m),"Kiel, Schleswig-Holstein (Germany)",29th April 1986 (age 35),16th June 2007 (14 years ago),Tim Suxdorf,,,
5841,Shaaheen Hosseinpour,235 lbs. (107 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",27th February 1985 (age 37),,Sha Samuels,,,
844,Gregory Allan Gagne,220 lbs. (100 kg) at 6'1'' (1.85 m),"Robbinsdale, Minnesota (United States of America)",27th July 1948 (age 73),15th April 1973 (48 years ago),Greg Gagne,,,
4551,Koutane Nakazawa,198 lbs. (90 kg) at 5'9'' (1.75 m),"Kawasaki, Kanagawa (Japan)",8th October 1975 (age 46),??th September 2005,MT Nakazawa,,,
2490,Tetsuo Sekigawa,286 lbs. (130 kg) at 6'0'' (1.83 m),"Isesaki, Gunma (Japan)",25th February 1951,20th March 1972 (49 years ago),Mr. Pogo,23rd June 2017,,
2852,Greg Burridge,230 lbs. (104 kg) at 6'1'' (1.85 m),"London, Greater London, England (United Kingdom)",25th September 1981 (age 40),,Greg Burridge,,,
3866,Harvinder Sihra,144 lbs. (65 kg) at 5'9'' (1.75 m),"Burnaby, British Columbia (Canada)",2nd November 1987 (age 34),??th July 2006,Samir Singh,,,
16320,James Lee Dowell,,"Blackpool, Lancashire, England (United Kingdom)",4th March 1993 (age 29),,James Drake,,,
1084,unknown,315 lbs. (143 kg) at 6'4'' (1.93 m),"Waharoa, Waikato (New Zealand)",,1995,Mana,,,
1901,Ray Samalonis,205 lbs. (93 kg) at 5'10'' (1.78 m),"Palm Beach, Florida (United States of America)",31st January 1968 (age 54),1988,Ray Odyssey,,,
4072,Garfield Portz,245 lbs. (111 kg) at 6'1'' (1.85 m),"Bradford, West Yorkshire, England (United Kingdom)",1957,1979,Scott McGhee,,,
15407,Andreas Kraniotakes,245 lbs. (111 kg) at 6'3'' (1.91 m),"München, Bayern (Germany)",10th December 1981 (age 40),16th July 2005 (16 years ago),Andreas Kraniotakes,,,
15974,Colby Corino,117 lbs. (53 kg) at 5'7'' (1.70 m),"Philadelphia, Pennsylvania (United States of America)",28th August 1996 (age 25),,Colby Corino,,,
1264,Mark Marcos,190 lbs. (86 kg) at 5'7'' (1.70 m),"Rochester, New York (United States of America)",16th October 1981 (age 40),??th January 2000,Dave Marcos,,,
1294,unknown,195 lbs. (88 kg) at 6'2'' (1.88 m),"New Orleans, Louisiana (United States of America)",,2001,Sedrick Strong,,,
1791,Rolando Fuentes Romero,150 lbs. (68 kg) at 5'2'' (1.57 m),"Veracruz, Veracruz de Ignacio de la Llave (Mexico)",5th May 1982 (age 39),7th April 1996 (25 years ago),Mini Histeria,,,
1810,Julio Domingo Estrada Cáceres,250 lbs. (113 kg) at 5'11'' (1.80 m),Humacao (Puerto Rico),1969,1984,Rico Suave,,,
3273,unknown,165 lbs. (75 kg) at 5'7'' (1.70 m),Texas (United States of America),12th March 1981 (age 40),1999,El Hombre sin Miedo,,,
3334,Reginald Walt,235 lbs. (107 kg) at 6'3'' (1.91 m),"Memphis, Tennessee (United States of America)",,1989,Reggie B. Fine,,,
3604,unknown,290 lbs. (132 kg) at 6'2'' (1.88 m),United Kingdom,1975,,Thunder,,,
3610,unknown,165 lbs. (75 kg) at 5'8'' (1.73 m),"Richmond, Virginia (United States of America)",17th February 1972 (age 50),??th October 1994,Jack Doan,,,
3637,unknown,267 lbs. (121 kg) at 6'4'' (1.93 m),"Portland, Michigan (United States of America)",20th August 1963 (age 58),1981,Bob Cook,,,
4370,unknown,257 lbs. (117 kg) at 6'1'' (1.85 m),"Versailles, Missouri (United States of America)",,,Wade Chism,,,
4425,David Younkins,311 lbs. (141 kg) at 6'5'' (1.96 m),"Pittsburgh, Pennsylvania (United States of America)",30th March 1962 (age 59),1990,T. Von Rantula,,,
4441,John Lusk,245 lbs. (111 kg) at 6'1'' (1.85 m),"Chino, California (United States of America)",27th November 1957 (age 64),,Johnny Mantell,,,
4487,Sergio Pacheco Hernández,220 lbs. (100 kg) at 5'9'' (1.75 m),Mexico,28th November 1975 (age 46),5th December 1992 (29 years ago),Sepulturero,,,
4618,Juan José Barrón Medina,198 lbs. (90 kg) at 5'7'' (1.70 m),"Teocuitatlán de Corona, Jalisco (Mexico)",22nd September 1952 (age 69),2nd October 1966 (55 years ago),Gran Cochisse,,,
4648,unknown,143 lbs. (65 kg) at 5'8'' (1.73 m),"Helsinki, Uusimaa (Finland)",,??th August 2004,Kisu ,,,
5608,Dale Richards,130 lbs. (59 kg) at 5'3'' (1.60 m),"Redcar, North Yorkshire, England (United Kingdom)",1st June 1989 (age 32),,Kid Richie,,,
6135,Dean Ayass,,"Brighton and Hove, East Sussex, England (United Kingdom)",8th May 1976 (age 45),,Dean Ayass,,,5'9'' (1.75 m)
7154,Crystal Carmichael,125 lbs. (57 kg) at 5'8'' (1.73 m),"Chicago, Illinois (United States of America)",3rd October 1981 (age 40),,Crystal White ,,,
7230,Romon Eduardo Rodríguez,250 lbs. (113 kg) at 6'1'' (1.85 m),"Santiago de León de Caracas, Distrito Capital (Venezuela)",7th April 1932,,Ciclón Negro,20th February 2013,,
7243,unknown,290 lbs. (132 kg) at 6'3'' (1.91 m),"Matane, Quebec (Canada)",21st July 1942 (age 79),,Neil Guay,,,
7897,James McGee,130 lbs. (59 kg) at 5'9'' (1.75 m),Quebec (Canada),,,Twiggy,,,
8075,Joseph Daniel Doerksen,185 lbs. (84 kg) at 6'0'' (1.83 m),"New Bothwell, Manitoba (Canada)",9th October 1977 (age 44),6th February 1999 (23 years ago),Joe Doerksen,,,
8082,Jonathan Goulet,170 lbs. (77 kg) at 6'1'' (1.85 m),"Victoriaville, Quebec (Canada)",13th July 1979 (age 42),16th December 2001 (20 years ago),Jonathan Goulet,,,
8433,unknown,240 lbs. (109 kg) at 5'9'' (1.75 m),New York (United States of America),21st April 1987 (age 34),21st May 2005 (16 years ago),Kaide Lothbrok,,,
9049,unknown,,"Manchester, Greater Manchester, England (United Kingdom)",1988,,Kristov Eganski,,179 lbs. (81 kg),
9488,Evangelista Santos,170 lbs. (77 kg) at 5'10'' (1.78 m),"Rondonópolis, Mato Grosso (Brazil)",12th December 1977 (age 44),20th November 1997 (24 years ago),Evangelista Santos,,,
10086,unknown,364 lbs. (165 kg) at 6'0'' (1.83 m),"Goderich, Ontario (Canada)",,11th September 2004 (17 years ago),Jeff Black,,,
10402,Scott Reed,200 lbs. (91 kg) at 5'7'' (1.70 m),"Manchester, New Hampshire (United States of America)",6th November 1985 (age 36),14th March 2003 (18 years ago),Scott Reed,,,
10415,Trevor Prangley,205 lbs. (93 kg) at 6'1'' (1.85 m),Cape Town (South Africa),24th August 1972 (age 49),18th January 2001 (21 years ago),Trevor Prangley,,,
11735,unknown,200 lbs. (91 kg) at 5'10'' (1.78 m),"Montréal, Quebec (Canada)",,4th July 1999 (22 years ago),Kid Rock,,,
12638,Jessica Aguilar,115 lbs. (52 kg) at 5'3'' (1.60 m),Mexico,8th May 1982 (age 39),18th February 2006 (16 years ago),Jessica Aguilar ,,,
12655,André Galvão,170 lbs. (77 kg) at 5'9'' (1.75 m),"São Paulo, São Paulo (Brazil)",29th September 1982 (age 39),30th August 2008 (13 years ago),André Galvão,,,
12756,Yoshitomi Mishima,145 lbs. (66 kg) at 5'7'' (1.70 m),Hyogo (Japan),19th April 1972 (age 49),17th January 1998 (24 years ago),Dokonjonosuke*Mishima,,,
12863,Kazunori Yokota,155 lbs. (70 kg) at 5'8'' (1.73 m),"Funabashi, Chiba (Japan)",3rd April 1978 (age 43),19th September 2004 (17 years ago),Kazunori Yokota,,,
12877,unknown,177 lbs. (80 kg) at 6'1'' (1.85 m),"Ciudad de México, Ciudad de México (Mexico)",1982,16th March 2005 (16 years ago),Canelo Casas,,,
13204,Igor Yaroslavovich Vovchanchyn,205 lbs. (93 kg) at 5'8'' (1.73 m),Solotschiw (Ukraine),6th August 1973 (age 48),25th September 1995 (26 years ago),Igor Vovchanchyn,,,
15586,Travis Fulton,230 lbs. (104 kg) at 6'0'' (1.83 m),"Waterloo, Iowa (United States of America)",29th May 1977,26th July 1996 (25 years ago),Travis Fulton,10th July 2021,,
15771,Michael Kevin Guymon,170 lbs. (77 kg) at 6'0'' (1.83 m),"Newport Beach, California (United States of America)",17th September 1974 (age 47),3rd May 1999 (22 years ago),Michael Guymon,,,
15774,Bryan Caraway,135 lbs. (61 kg) at 5'8'' (1.73 m),"Yakima, Washington (United States of America)",21st October 1982 (age 39),16th September 2005 (16 years ago),Bryan Caraway,,,
18031,Tie Quan Zhang,155 lbs. (70 kg) at 5'8'' (1.73 m),Nèi Menggu (China),25th July 1985 (age 36),6th November 2005 (16 years ago),Tie Quan Zhang,,,
23772,unknown,,United Kingdom,,,Orion Adams,,,5'9'' (1.75 m)
23823,Isaac Vallie-Flagg,155 lbs. (70 kg) at 5'8'' (1.73 m),"Ann Arbor, Michigan (United States of America)",8th April 1978 (age 43),3rd August 2003 (18 years ago),Isaac Vallie-Flagg,,,
24187,Timothy LaMonte-Whistler,196 lbs. (89 kg) at 5'11'' (1.80 m),"Livingston, New Jersey (United States of America)",16th June 1982 (age 39),7th April 2012 (9 years ago),Tim Zbyszko,,,
24238,unknown,,"Indianapolis, Indiana (United States of America)",,,Jason Lee,,,
24641,unknown,234 lbs. (106 kg) at 6'0'' (1.83 m),"San Nicolás de los Garza, Nuevo León (Mexico)",18th September 1990 (age 31),2009,Herodes Jr.,,,
35795,unknown,237 lbs. (108 kg) at 6'3'' (1.91 m),"New Haven, Connecticut (United States of America)",8th November 1992 (age 29),2015,Richard Holliday,,,
37000,unknown,,Colorado (United States of America),,,Abadon ,,,
447,Michael Sean Coulthard,176 lbs. (80 kg) at 5'7'' (1.70 m),"Syracuse, New York (United States of America)",8th December 1968 (age 53),1997,Michael Cole,,,
885,James Manley,237 lbs. (108 kg) at 5'11'' (1.80 m),"Orlando, Florida (United States of America)",4th January 1958 (age 64),1984,Jim Powers,,,
683,Bobby Edward Duncum Jr.,296 lbs. (134 kg) at 6'6'' (1.98 m),"Amarillo, Texas (United States of America)",26th August 1965,??th September 1992,Bobby Duncum Jr.,24th January 2000,,
1174,Rick Harris,350 lbs. (159 kg) at 6'4'' (1.93 m),"Fayetteville, North Carolina (United States of America)",30th January 1955 (age 67),1974,Black Bart,,,
2026,Mima Shimoda,143 lbs. (65 kg) at 5'5'' (1.65 m),"Tokyo, Tokyo (Japan)",23rd December 1970 (age 51),5th August 1987 (34 years ago),Mima Shimoda ,,,
3146,Mark Ashford-Smith,267 lbs. (121 kg) at 5'10'' (1.78 m),United Kingdom,26th December 1962,1986,Mark Starr,7th June 2013,,
1850,Masashi Ozawa,220 lbs. (100 kg) at 6'4'' (1.93 m),"Tsubame, Niigata (Japan)",6th March 1947 (age 75),26th June 1971 (50 years ago),Killer Khan,,,
1360,Mark Smith,281 lbs. (127 kg) at 6'3'' (1.91 m),"Los Angeles, California (United States of America)",24th September 1970,12th April 1998 (23 years ago),Bison Smith,22nd November 2011,,
2148,unknown,238 lbs. (108 kg) at 6'4'' (1.93 m),"Ciudad de México, Ciudad de México (Mexico)",26th May 1966 (age 55),8th June 1990 (31 years ago),Tinieblas Jr.,,,
1698,Roland C. Daniels,310 lbs. (141 kg) at 6'2'' (1.88 m),"Savannah, Georgia (United States of America)",30th November 1950,1977,Leroy Brown,6th September 1988,,
12703,Brett Charles Rogers,260 lbs. (118 kg) at 6'4'' (1.93 m),"Minneapolis, Minnesota (United States of America)",17th February 1981 (age 41),3rd May 2006 (15 years ago),Brett Rogers,,,
15220,Jermaine Haley,346 lbs. (157 kg) at 6'0'' (1.83 m),"Adelaide, South Australia (Australia)",25th August 1988 (age 33),,JONAH,,,
173,Chris Wright,245 lbs. (111 kg) at 6'1'' (1.85 m),"Minneapolis, Minnesota (United States of America)",7th January 1970 (age 52),2nd December 1993 (28 years ago),Chris Wright,,,
1801,Larry W. Booker,375 lbs. (170 kg) at 6'0'' (1.83 m),Louisiana (United States of America),6th June 1952,1977,Moondog Spot,29th November 2003,,
479,Michael Polchlopek,258 lbs. (117 kg) at 6'3'' (1.91 m),"Eddyville, Kentucky (United States of America)",27th December 1965 (age 56),1992,Mike Barton,,,
5485,Curtis Piehau Iaukea III.,290 lbs. (132 kg) at 6'3'' (1.91 m),"Honolulu, Hawaii (United States of America)",15th September 1937,1955,Curtis Iaukea,4th December 2010,,
699,Juan Manuel de la Rosa,170 lbs. (77 kg) at 5'7'' (1.70 m),"Monterrey, Nuevo León (Mexico)",24th December 1959 (age 62),1979,Ángel Mortal,,,
10582,Paul Daley,170 lbs. (77 kg) at 5'9'' (1.75 m),"Nottingham, Nottinghamshire, England (United Kingdom)",21st February 1983 (age 39),29th June 2003 (18 years ago),Paul Daley,,,
1144,unknown,225 lbs. (102 kg) at 5'10'' (1.78 m),"Pensacola, Florida (United States of America)",,,Norvell Austin,,,
2060,Jeff Gamble,,"Biloxi, Mississippi (United States of America)",,1989,The Gambler,,,
2522,Dan Richardson,225 lbs. (102 kg) at 5'11'' (1.80 m),"Middlesbrough, North Yorkshire, England (United Kingdom)",??th October 1984,2004,Dragon Aisu,,,
2845,Soichiro Honda,191 lbs. (87 kg) at 5'6'' (1.68 m),"Musashino, Tokyo (Japan)",2nd January 1978 (age 44),4th January 2005 (17 years ago),Antonio Honda,,,
3118,Pablo Fuentes,216 lbs. (98 kg) at 5'7'' (1.70 m),Jalisco (Mexico),4th October 1974 (age 47),25th December 1996 (25 years ago),Ébola,,,
4170,Josh Burgess,209 lbs. (95 kg) at 5'10'' (1.78 m),"Coloma, Michigan (United States of America)",1984,,Christin Able,14th April 2016,,
4200,Carey Lee Lloyd,,"Dillon, South Carolina (United States of America)",4th July 1933,,Rufus R. Jones,13th November 1993,,
4590,Robert Eeckhout,190 lbs. (86 kg) at 6'1'' (1.85 m),"Herselt, Antwerpen, Vlaanderen (Belgium)",,,Rob Raw,,,
4929,Felipe Castellanos,,Mexico,17th May 1968 (age 53),,Fobia,,,
5587,Philip Poll,238 lbs. (108 kg) at 5'10'' (1.78 m),"London, Greater London, England (United Kingdom)",27th September 1978 (age 43),1993,Phil Powers,,,
6356,Dennis Waters,265 lbs. (120 kg) at 6'4'' (1.93 m),"Hamilton, Ontario (Canada)",23rd March 1943 (age 78),1963,Johnny Powers,,,
8505,Max Pelham,271 lbs. (123 kg) at 6'5'' (1.96 m),"Framingham, Massachusetts (United States of America)",15th February 1986 (age 36),2005,Mickey Keegan,,,
17410,Ashley Ann Vickers,125 lbs. (57 kg) at 5'6'' (1.68 m),"Fort Pierce, Florida (United States of America)",1987,22nd June 2010 (11 years ago),Ashley Valence,,,
471,Tony Christian Halme,258 lbs. (117 kg) at 6'3'' (1.91 m),"Helsinki, Uusimaa (Finland)",6th January 1963,1989,Tony Halme,8th January 2010,,
800,Patrick Tanaka,225 lbs. (102 kg) at 5'10'' (1.78 m),"Honolulu, Hawaii (United States of America)",5th August 1963 (age 58),1984,Pat Tanaka,,,
7175,Armando Mercado García,,Mexico,27th August 1981 (age 40),,Guapito,,,
472,Fred Ottman,384 lbs. (174 kg) at 6'3'' (1.91 m),"Miami, Florida (United States of America)",10th August 1956 (age 65),1984,Fred Ottman,,,
1276,Danny Marsh,175 lbs. (79 kg) at 6'0'' (1.83 m),"Toronto, Ontario (Canada)",28th March 1956 (age 65),1982,Danny Davis,,,
30363,unknown,188 lbs. (85 kg) at 5'8'' (1.73 m),"Jersey City, New Jersey (United States of America)",11th December 1993 (age 28),??th September 2013,Sonny Kiss,,,
30501,Gzim Selmani,265 lbs. (120 kg) at 6'3'' (1.91 m),Noord-Holland (Netherlands),16th June 1994 (age 27),24th November 2012 (9 years ago),Rezar,,,
256,Douglas Adam Becker,206 lbs. (93 kg) at 6'0'' (1.83 m),"Seattle, Washington (United States of America)",22nd October 1971 (age 50),9th November 1991 (30 years ago),Adam Flash,,,
915,Mike Howell,264 lbs. (120 kg) at 6'6'' (1.98 m),"Tallahassee, Florida (United States of America)",9th December 1968 (age 53),25th October 1986 (35 years ago),Mike Howell,,,
2821,Juan Álvaro Mejía Morales,209 lbs. (95 kg) at 5'7'' (1.70 m),"Ciudad de México, Ciudad de México (Mexico)",22nd January 1977 (age 45),1997,Fantasma de la Ópera,,,
3270,Jesús Menel Aleman Almeida,150 lbs. (68 kg) at 5'3'' (1.60 m),"Tijuana, Baja California (Mexico)",7th September 1981 (age 40),17th July 2004 (17 years ago),Mini Mr. Águila,,,
3829,Sander Rijnders,196 lbs. (89 kg) at 6'1'' (1.85 m),"Venlo, Limburg (Netherlands)",,,Mad Cow,,,
8603,Carlos Soriano Mendoza,,"Ciudad de México, Ciudad de México (Mexico)",11th May 1974 (age 47),1994,El Cholo,,,
11788,Hong-Man Choi,320 lbs. (145 kg) at 7'2'' (2.18 m),Jeju (South Korea),30th October 1980 (age 41),31st December 2006 (15 years ago),Hong-Man Choi,,,
1800,Bruno Lauer,155 lbs. (70 kg) at 5'7'' (1.70 m),"Walls, Mississippi (United States of America)",27th October 1965 (age 56),1979,Downtown Bruno,,,
470,Edward Ellsworth Annis,195 lbs. (88 kg) at 6'1'' (1.85 m),"Calgary, Alberta (Canada)",2nd February 1980 (age 42),1995,Teddy Hart,,,
530,Michael Altieri,171 lbs. (78 kg) at 5'8'' (1.73 m),"New Haven, Connecticut (United States of America)",3rd October 1983 (age 38),20th June 2003 (18 years ago),Mikey Batts,,,
482,Marc Mero,235 lbs. (107 kg) at 6'1'' (1.85 m),"Buffalo, New York (United States of America)",9th July 1960 (age 61),1991,Johnny B. Badd,,,
1041,Luc Poirier,297 lbs. (135 kg) at 6'5'' (1.96 m),"Montréal, Quebec (Canada)",9th January 1961 (age 61),1982,Rambo,,,
106,Charles Warrington,243 lbs. (110 kg) at 6'1'' (1.85 m),"Cherry Hill, New Jersey (United States of America)",28th May 1971 (age 50),??th June 1993,Mosh,,,
1624,Derek Graham-Couch,240 lbs. (109 kg) at 6'2'' (1.88 m),"Oban, Argyll and Bute, Scotland (United Kingdom)",,2000,Robert Graham,,,
475,Mike Enos,277 lbs. (126 kg) at 6'3'' (1.91 m),"Minneapolis, Minnesota (United States of America)",11th July 1963 (age 58),1988,Mike Enos,,,
2152,Alfonso Peña,,Mexico,10th June 1969 (age 52),1985,Morphosis,,,
5000,unknown,,"Visselhövede, Niedersachsen (Germany)",7th May 1986 (age 35),,Daniel Prophet,,,
2806,unknown,190 lbs. (86 kg) at 5'8'' (1.73 m),"Ciudad de México, Ciudad de México (Mexico)",14th October 1985 (age 36),2002,Dr. Karonte,,,
27760,Dylan Miley,303 lbs. (137 kg) at 6'3'' (1.91 m),"Westminster, Colorado (United States of America)",6th July 1988 (age 33),??th October 2014,Lars Sullivan,,,
3054,Humberto Sánchez Medorio,154 lbs. (70 kg) at 5'5'' (1.65 m),"Ciudad de México, Ciudad de México (Mexico)",15th November 1970 (age 51),1st December 1995 (26 years ago),Pequeño Warrior,,,
821,Ion William Croitoru,285 lbs. (129 kg) at 6'2'' (1.88 m),"Hamilton, Ontario (Canada)",7th December 1965,1979,Bruiser Bedlam,22nd February 2017,,
1818,Alex Pérez,237 lbs. (108 kg) at 6'1'' (1.85 m),"Tampa, Florida (United States of America)",23rd July 1960 (age 61),1982,Al Pérez,,,
700,unknown,194 lbs. (88 kg) at 5'7'' (1.70 m),"Monterrey, Nuevo León (Mexico)",7th July 1971 (age 50),4th July 1993 (28 years ago),Antifaz del Norte,,,
2587,	Timothy Paul Brooks,285 lbs. (129 kg) at 6'0'' (1.83 m),"Waxahachie, Texas (United States of America)",4th December 1947,,Tim Brooks,30th June 2020,,
9871,Anteus Ortiz Chávez,,"Ciudad de México, Ciudad de México (Mexico)",28th February 1992 (age 30),25th March 2005 (16 years ago),El Hijo del Pirata Morgan,,,
19087,Troy Brolin,198 lbs. (90 kg) at 5'11'' (1.80 m),Pennsylvania (United States of America),12th May 1988 (age 33),2nd January 2010 (12 years ago),Jakob Hammermeier,,,
828,Adam Brower,150 lbs. (68 kg) at 5'8'' (1.73 m),"Bayonne, New Jersey (United States of America)",3rd October 1984 (age 37),31st March 2000 (21 years ago),Insane Dragon,,,
1967,Thomas Cairo,257 lbs. (117 kg) at 6'3'' (1.91 m),"Philadelphia, Pennsylvania (United States of America)",19th February 1958 (age 64),1988,Tommy Cairo,,,
2395,Aurelian Smith Sr.,340 lbs. (154 kg) at 6'10'' (2.08 m),"Whitesboro, Texas (United States of America)",6th August 1932,,Grizzly Smith,12th June 2010,,
7814,Selina Majors,,"Duluth, Georgia (United States of America)",24th May 1966 (age 55),1986,Bambi ,,,5'7'' (1.70 m)
10783,Roberto Ruiz González,198 lbs. (90 kg) at 5'10'' (1.78 m),"Ciudad de México, Ciudad de México (Mexico)",27th August 1977 (age 44),,Camorra,,,
834,George Hines,225 lbs. (102 kg) at 5'11'' (1.80 m),"Columbus, Ohio (United States of America)",1968,1988,George Hines,,,
1263,Kevin Dunn,190 lbs. (86 kg) at 5'6'' (1.68 m),"Rochester, New York (United States of America)",30th September 1981 (age 40),??th June 2000,Sammy Dunn,,,
1489,Masaru Yamamoto,220 lbs. (100 kg) at 5'6'' (1.68 m),"Yokohama, Kanagawa (Japan)",30th October 1941,19th July 1963 (58 years ago),Kotetsu Yamamoto,28th August 2010,,
1904,John Emile Frenkel III.,240 lbs. (109 kg) at 6'3'' (1.91 m),"Mobile, Alabama (United States of America)",1959,1983,John Tatum,,,
2999,Keith Walker,280 lbs. (127 kg) at 6'2'' (1.88 m),"Chicago, Illinois (United States of America)",15th May 1978 (age 43),2003,Keith Walker,,,
3121,unknown,241 lbs. (109 kg) at 6'1'' (1.85 m),"Guadalajara, Jalisco (Mexico)",20th February 1980 (age 42),25th January 2000 (22 years ago),León Blanco,,,
4451,unknown,,"Ciudad de México, Ciudad de México (Mexico)",8th December 1983 (age 38),6th June 2000 (21 years ago),Barba Roja,,,
6036,James Long,175 lbs. (79 kg) at 5'10'' (1.78 m),"Richmond, Virginia (United States of America)",,2000,Paredyse,,,
6872,"Papali'tele ""Max"" Amata Taogaga",,Apia (Samoa),28th April 1949 (age 72),,Siva Afi,,,
8998,unknown,,,9th June 1980 (age 41),,John Atkins,,,
9490,Justin Mark Eilers,235 lbs. (107 kg) at 6'1'' (1.85 m),"Boise, Idaho (United States of America)",28th June 1978,23rd November 2002 (19 years ago),Justin Eilers,25th December 2008,,
10900,Donald Matthew Grice,145 lbs. (66 kg) at 5'8'' (1.73 m),"Midwest City, Oklahoma (United States of America)",29th July 1981 (age 40),1st October 2005 (16 years ago),Matt Grice,,,
11571,unknown,220 lbs. (100 kg) at 6'0'' (1.83 m),"Dartford, Kent, England (United Kingdom)",16th November 1983 (age 38),1999,Danny Garnell,,,
13307,Cyrille Diabaté,205 lbs. (93 kg) at 6'6'' (1.98 m),"La Celle-Saint-Cloud, Île-de-France (France)",10th June 1973 (age 48),20th March 1999 (22 years ago),Cyrille Diabaté,,,
13858,unknown,,,10th October 1950 (age 71),,Gene Ligon,,,
22077,Philip De Fries,250 lbs. (113 kg) at 6'5'' (1.96 m),"Sunderland, Tyne and Wear, England (United Kingdom)",21st April 1986 (age 35),26th April 2009 (12 years ago),Philip De Fries,,,
24455,Derek Foore,229 lbs. (104 kg) at 6'0'' (1.83 m),"Cleveland, Ohio (United States of America)",30th July 1988 (age 33),,Chad Baxter,,,
25685,unknown,,United Kingdom,,,Alex Gracie,,,
26721,unknown,372 lbs. (169 kg) at 6'6'' (1.98 m),"Boston, Massachusetts (United States of America)",,18th November 2004 (17 years ago),Max Smashmaster,,,
27810,Danielle Kamela,130 lbs. (59 kg) at 5'5'' (1.65 m),"Los Angeles, California (United States of America)",18th March 1988 (age 33),26th March 2016 (5 years ago),Danielle Kamela ,,,
31634,Ross Cooke,220 lbs. (100 kg) at 6'3'' (1.91 m),"London, Greater London, England (United Kingdom)",1st February 1988 (age 34),,Saxon Huxley,,,
