,Real Name,Birthplace,Date of Birth,Date of Death,wrestler_name,Debut,Weight,Weight and Height,Height
10753,unknown,"Wellingborough, Northamptonshire, England (United Kingdom)",,,Gary Wensor,,,,
10754,unknown,Johannesburg (South Africa),,,Jan Wilko,,,280 lbs. (127 kg) at 6'5'' (1.96 m),
10755,unknown,"Portsmouth, Hampshire, England (United Kingdom)",,,Johnny Wilson,,,224 lbs. (102 kg) at 6'0'' (1.83 m),
10756,Frank Bruno Elrington,"Portsmouth, Hampshire, England (United Kingdom)",,19th July 1993,Bruno Elrington,,280 lbs. (127 kg),,
10757,unknown,"Portsmouth, Hampshire, England (United Kingdom)",,,Pete Wilson,,,,
10758,Alan Wood,"Coppull, Lancashire, England (United Kingdom)",17th March 1939,XXXX,Alan Wood,,,,
10759,unknown,"Sunderland, Tyne and Wear, England (United Kingdom)",,,Billy Morrison,2002,182 lbs. (83 kg),,
10760,unknown,,,,Carlos Zapata,,,,
10761,Rosendo Genchi,Mexico,,??th April 2007,El Acapulco,,,,
10762,Francisco Cota,Mexico,,,Güero Cota,,,,
10763,Alberto Arredondo Callejas,"Ciudad de México, Ciudad de México (Mexico)",,4th January 2018,El Grillo,,,,
10765,Joseph James Rizzo,"Cleveland, Ohio (United States of America)",1937,16th October 2008,Jack Reynolds,,,,
10766,unknown,"Montréal, Quebec (Canada)",5th January 1981 (age 41),,Fuego Rudo,12th April 2008 (13 years ago),,187 lbs. (85 kg) at 5'10'' (1.78 m),
10768,Matthias Preßler,"Hattersheim am Main, Hessen (Germany)",1st March 1990 (age 32),,Buc the Tacklemachine,18th October 2008 (13 years ago),,203 lbs. (92 kg) at 6'0'' (1.83 m),
10770,Tim Schellenberg,Hessen (Germany),4th September 1992 (age 29),,Tornado Tim,18th October 2008 (13 years ago),,152 lbs. (69 kg) at 5'10'' (1.78 m),
10772,Manuel Konrad,,30th June 1990 (age 31),,Manuel Konrad,18th October 2008 (13 years ago),,,
10774,unknown,,,,Bobo Bryce,,,,
10775,Yvon Losier,New Brunswick (Canada),10th September 1930,13th July 2008,Yvon Roberre,,,,
10777,unknown,Hidalgo (Mexico),,,El Hombre Lobo,,,,
10778,unknown,"Rotterdam, Zuid-Holland (Netherlands)",20th September 1974 (age 47),,Santos,2000,,200 lbs. (91 kg) at 5'9'' (1.75 m),
10779,unknown,,,,El Soberbio,,,,
10781,unknown,,,,Murray Cummings,,,,
10782,unknown,Mexico,1976,,Black Wolf,1998,,172 lbs. (78 kg) at 5'5'' (1.65 m),
10784,Ofelia Maivia,Samoa,1927,19th October 2008,Ofelia Maivia ,,,,
10785,unknown,"Stillwater, Oklahoma (United States of America)",,,Bryn Watts,,,190 lbs. (86 kg) at 5'10'' (1.78 m),
10786,Tim Strom,,,,StormBringer,,,,
10787,unknown,"Calgary, Alberta (Canada)",1984,,Chase Patrick,??th September 2006,,,
10788,unknown,Canada,,,Bobby Fletcher,,,,
10790,unknown,,,,Jake Welder,,,,
10791,unknown,,,,Frank Monroe,,,,
10792,unknown,"Philadelphia, Pennsylvania (United States of America)",3rd October 1974 (age 47),,Scotty Ice,,,250 lbs. (113 kg) at 6'0'' (1.83 m),
10793,unknown,,,,Pete Austin,,,,
10794,unknown,,,,Travis Copeland,,,,
10795,unknown,,,,Tommy Knoxville,,,,
10796,Matthew Hallmark,"Adelaide, South Australia (Australia)",,,Hallmark,2009,,183 lbs. (83 kg) at 5'10'' (1.78 m),
10801,unknown,"Whanganui, Manawatu-Wanganui (New Zealand)",,,H-Flame,,,194 lbs. (88 kg) at 6'0'' (1.83 m),
10802,Kazuo Takahashi,"Ichikawa, Chiba (Japan)",13th March 1969 (age 53),,Yoshiki Takahashi,16th May 1991 (30 years ago),,205 lbs. (93 kg) at 5'11'' (1.80 m),
10804,unknown,,,,Debo,,,275 lbs. (125 kg) at 6'5'' (1.96 m),
10805,unknown,,,,Josh Lowry,,,240 lbs. (109 kg) at 6'0'' (1.83 m),
10806,unknown,,,,Lumpy Magoo,,,230 lbs. (104 kg) at 6'5'' (1.96 m),
10807,unknown,,,,Ranger Milton,,,250 lbs. (113 kg) at 5'11'' (1.80 m),
10809,Richard Martin,"Robbinsdale, Minnesota (United States of America)",27th August 1966 (age 55),,Hellraiser Blood,,,,
10811,unknown,"Broken Arrow, Oklahoma (United States of America)",20th September ???,,Justin Lee,22nd September 2001 (20 years ago),,205 lbs. (93 kg) at 5'9'' (1.75 m),
10813,unknown,"Baltimore, Maryland (United States of America)",12th July 1980 (age 41),,Erin Bray,,,,
10814,unknown,,,,GI Ho,,,,
10815,Alberto Aguilera Domínguez,Panama,,,Killer Steel,1991,,,
10816,unknown,Mexico,25th May 1977 (age 44),,Siniestro,,,,6'2'' (1.88 m)
10817,unknown,,,,Jack Myers,,,,
10820,Alvaro Suarez,Mexico,,,5X,,,,
10821,unknown,"San Luis Potosí, San Luis Potosí (Mexico)",,,Red Flamer,1987,,,5'4'' (1.63 m)
10822,unknown,Mexico,,,Red Rebelde,,,,
10823,unknown,,,,Ron Johnson,,,,
10824,unknown,,,,Louis Loew,,,,
10825,unknown,,1st April 1926,18th December 2010,Donn Lewin,5th August 1950 (71 years ago),,230 lbs. (104 kg) at 6'0'' (1.83 m),
10826,unknown,Mexico,,,Demonio Blanco Jr.,,,,
10827,unknown,"Buffalo, New York (United States of America)",6th May 1935,28th July 2021,Ted Lewin,1952,,,
10828,unknown,,,,Les Morgan,,,,
10829,unknown,,,,Primetime,,,,
10833,unknown,Mexico,,,Lobo Blanco,,,,
10835,unknown,United Kingdom,,,Scott Adams,,200 lbs. (91 kg),,
10837,unknown,,,,Chris Krueger,,,,
10838,unknown,,,,Oz,,,,
10840,unknown,Newfoundland and Labrador (Canada),,,Guy Williams,,,210 lbs. (95 kg) at 5'10'' (1.78 m),
10841,Mervyn McKie,,20th September 1941 (age 80),,Big Mac,,,,5'5'' (1.65 m)
10842,Joseph Esposito,,3rd December 1915,20th February 2005,Joe Esposito,1933,,,
10844,Beau Rodefer,"South Bend, Indiana (United States of America)",9th February 1988 (age 34),,Ryan Epic,2006,,,5'6'' (1.68 m)
10845,Jerry James Wilson,"Merced, California (United States of America)",2nd March 1988 (age 34),,Brutus Dylan,2005,,300 lbs. (136 kg) at 6'6'' (1.98 m),
10846,unknown,"South Bend, Indiana (United States of America)",,,Alex Rase,2005,,220 lbs. (100 kg) at 5'8'' (1.73 m),
10847,Joseph Adam Buell,"Lewisburg, Ohio (United States of America)",1st January 1984,20th June 2020,Adam Bueller,2001,,155 lbs. (70 kg) at 6'0'' (1.83 m),
10848,unknown,,,,Kyle Rich,,,,6'0'' (1.83 m)
10849,unknown,United States of America,,,Blake Reed,,,280 lbs. (127 kg) at 6'0'' (1.83 m),
10850,Mike Sandusky,"Newark, New Jersey (United States of America)",13th March 1935 (age 87),,Mike Sandusky,,,,
10853,unknown,Kentucky (United States of America),25th March ???,,Alex Castle,,,212 lbs. (96 kg) at 6'2'' (1.88 m),
10855,unknown,,,,Tommy Callaway,,,200 lbs. (91 kg) at 6'0'' (1.83 m),
10856,unknown,,,,El Magnífico,,,220 lbs. (100 kg) at 5'9'' (1.75 m),
10860,unknown,Indiana (United States of America),,,GT Vega,,,230 lbs. (104 kg) at 6'3'' (1.91 m),
10862,John Wareing,"Yonkers, New York (United States of America)",14th November 1923,16th July 2000,Chief John Wareing,,,200 lbs. (91 kg) at 5'10'' (1.78 m),
10863,unknown,,,,Dave Sigfrid,,,265 lbs. (120 kg) at 6'0'' (1.83 m),
10864,unknown,,,,Brian Klass,,,205 lbs. (93 kg) at 6'3'' (1.91 m),
10865,unknown,,,,Kenny Taylor,,,205 lbs. (93 kg) at 6'1'' (1.85 m),
10868,Jason Robertson,,,,Jason Sterling,,,,
10869,unknown,Quebec (Canada),,,Crazzy Eddy,,,,
10871,Soa Palelei,"Perth, Western Australia (Australia)",12th July 1977 (age 44),,Soa Palelei,27th September 2002 (19 years ago),,290 lbs. (132 kg) at 6'4'' (1.93 m),
10872,unknown,"London, Greater London, England (United Kingdom)",,,Hakan,,,200 lbs. (91 kg) at 6'0'' (1.83 m),
10873,unknown,United Kingdom,,,John Prater,,,,
10874,unknown,"Birmingham, West Midlands, England (United Kingdom)",6th February 1984 (age 38),,Kaleb Hughes,2003,,180 lbs. (82 kg) at 5'10'' (1.78 m),
10875,Carl ???,"Nuneaton, Warwickshire, England (United Kingdom)",,,Kyle Gage,,,,
10877,unknown,"Nottingham, Nottinghamshire, England (United Kingdom)",,,Nitrus,14th August 2004 (17 years ago),,148 lbs. (67 kg) at 5'7'' (1.70 m),
10878,unknown,United Kingdom,,,Kruizer,,,,
10879,Nate Mohr,"Davenport, Iowa (United States of America)",3rd March 1983 (age 39),,Nate Mohr,15th August 2003 (18 years ago),,155 lbs. (70 kg) at 5'9'' (1.75 m),
10880,Jared Rollins,"Long Beach, California (United States of America)",26th January 1977 (age 45),,Jared Rollins,10th June 2002 (19 years ago),,185 lbs. (84 kg) at 5'9'' (1.75 m),
10881,Billy Miles,"Lincoln, California (United States of America)",,,Billy Miles,13th October 2003 (18 years ago),,185 lbs. (84 kg) at 5'10'' (1.78 m),
10882,Daniel Barrera,"Rupert, Idaho (United States of America)",23rd December 1980 (age 41),,Dan Barrera,8th December 2007 (14 years ago),,170 lbs. (77 kg) at 5'9'' (1.75 m),
10883,John Kolosci,"Portage, Indiana (United States of America)",26th November 1974 (age 47),,John Kolosci,12th April 2003 (18 years ago),,185 lbs. (84 kg) at 5'10'' (1.78 m),
10884,Paul Georgieff,"St. Paul, Minnesota (United States of America)",22nd September 1982 (age 39),,Paul Georgieff,20th August 2004 (17 years ago),155 lbs. (70 kg),,
10885,Dorian Price,"Baltimore, Maryland (United States of America)",20th August 1976 (age 45),,Dorian Price,14th April 2002 (19 years ago),,155 lbs. (70 kg) at 6'3'' (1.91 m),
10886,Richie Hightower,"Phoenix, Arizona (United States of America)",24th November 1982 (age 39),,Richie Hightower,1st May 2004 (17 years ago),,170 lbs. (77 kg) at 5'8'' (1.73 m),
10887,Troy Mandaloniz,"Hilo, Hawaii (United States of America)",2nd January 1980 (age 42),,Troy Mandaloniz,29th January 2005 (17 years ago),,170 lbs. (77 kg) at 5'9'' (1.75 m),
10888,Shaun Ladford,United Kingdom,29th October 1984 (age 37),,White Tiger,2nd July 2003 (18 years ago),,181 lbs. (82 kg) at 5'9'' (1.75 m),
10891,David ???,"Corby, Northamptonshire, England (United Kingdom)",,,Chip Durant,,,,
10892,unknown,"Nottingham, Nottinghamshire, England (United Kingdom)",,,Robby Victory,,,170 lbs. (77 kg) at 6'2'' (1.88 m),
10893,unknown,"Dundee, Dundee, Scotland (United Kingdom)",30th September 1984 (age 37),,Danny McGuff,,,,
10894,unknown,"Nottingham, Nottinghamshire, England (United Kingdom)",21st January 1987 (age 35),,Sash,,,,
10896,Tomas López,Mexico,23rd May 1961,26th April 2015,Módulo,,,157 lbs. (71 kg) at 5'5'' (1.65 m),
10899,Forrest Petz,"Cleveland, Ohio (United States of America)",20th September 1975 (age 46),,Forrest Petz,13th January 2002 (20 years ago),,170 lbs. (77 kg) at 5'10'' (1.78 m),
10901,Jason Black,"Ottumwa, Iowa (United States of America)",15th August 1972 (age 49),,Jason Black,21st May 2000 (21 years ago),,155 lbs. (70 kg) at 5'10'' (1.78 m),
10903,unknown,"London, Greater London, England (United Kingdom)",,,Dwayne Carter,,,217 lbs. (98 kg) at 6'5'' (1.96 m),
10904,unknown,Ireland,,,Scott Annette,,,185 lbs. (84 kg) at 5'10'' (1.78 m),
10905,Andrew Carder,"London, Greater London, England (United Kingdom)",,,Judas,2004,,322 lbs. (146 kg) at 6'4'' (1.93 m),
10906,unknown,"Gillingham, Kent, England (United Kingdom)",,,Marty Denver,,,161 lbs. (73 kg) at 5'10'' (1.78 m),
10907,unknown,United Kingdom,,,Max Caine,,,192 lbs. (87 kg) at 5'8'' (1.73 m),
10908,unknown,United Kingdom,,,Mickey Lynch,,,200 lbs. (91 kg) at 5'10'' (1.78 m),
10909,unknown,United Kingdom,,,Tommy Lee Roth,,,185 lbs. (84 kg) at 5'10'' (1.78 m),
10910,unknown,"Gillingham, Kent, England (United Kingdom)",,,Prevalence,,,147 lbs. (67 kg) at 5'8'' (1.73 m),
10912,unknown,"Chatham, Kent, England (United Kingdom)",,,Nathaniel Grimm,,,180 lbs. (82 kg) at 6'0'' (1.83 m),
10913,David Brown,United Kingdom,,,Mr. Vain,1st March 1992 (30 years ago),,232 lbs. (105 kg) at 5'9'' (1.75 m),
10914,unknown,"Reading, Berkshire, England (United Kingdom)",,,Izzy Stardust ,,,133 lbs. (60 kg) at 5'5'' (1.65 m),
10915,unknown,"London, Greater London, England (United Kingdom)",20th January 1991 (age 31),,Tate Levene,,,,5'10'' (1.78 m)
10916,unknown,"Wexford, Wexford (Ireland)",10th March 1984 (age 38),,Tad Trussell,,,168 lbs. (76 kg) at 5'9'' (1.75 m),
10917,Jo Parkes,"Coventry, West Midlands, England (United Kingdom)",,,Jordan E. ,2003,,180 lbs. (82 kg) at 5'7'' (1.70 m),
10918,unknown,United Kingdom,,,Warlord Yamada,,,255 lbs. (116 kg) at 5'11'' (1.80 m),
10919,unknown,,,,Eddie Sullivan,,,,
10921,Bobby Cash,,22nd October 1947 (age 74),,Porkchop Cash,,,239 lbs. (108 kg) at 6'0'' (1.83 m),
10922,unknown,,,,Debbie Johnson ,,,,
10925,unknown,,,,Arthur Monteur,,,,
10926,unknown,"Sunderland, Tyne and Wear, England (United Kingdom)",,,Harrison Brand,,,,
10929,unknown,"Reading, Berkshire, England (United Kingdom)",27th September 1981 (age 40),,David Paris,??th December 2002,,235 lbs. (107 kg) at 6'3'' (1.91 m),
10935,unknown,,,,Cliff Parker,,,,
10936,Moise Rimbon,"Montluçon, Auvergne-Rhône-Alpes (France)",20th April 1977 (age 44),,Moise Rimbon,13th May 2000 (21 years ago),,205 lbs. (93 kg) at 5'10'' (1.78 m),
10938,Fabio Silva,Brazil,31st March 1982 (age 39),,Fabio Silva,20th December 2003 (18 years ago),,185 lbs. (84 kg) at 5'11'' (1.80 m),
10950,unknown,Quebec (Canada),,,Daniel Leon,,,,
10951,unknown,"Salisbury, Wiltshire, England (United Kingdom)",,,TK,,190 lbs. (86 kg),,
10952,unknown,,,,Candy Malloy ,,,,
10953,unknown,,,,Hotstuff Rivera,12th January 1997 (25 years ago),,,
10954,unknown,,,,Bobby Bambino,,,184 lbs. (83 kg) at 5'8'' (1.73 m),
10955,Daniel Aceves Villagrán,"Ciudad de México, Ciudad de México (Mexico)",18th November ???,,Daniel Aceves Villagrán,,,,
10957,unknown,,,,Maynard R. Neck,,,,
10958,unknown,United Kingdom,,,Marty Michaels,,,,
10959,unknown,"Kent, England (United Kingdom)",,,Omér Ibrahim,,,240 lbs. (109 kg) at 5'10'' (1.78 m),
10960,unknown,United Kingdom,,,Poizon,9th December 2007 (14 years ago),,,
10961,unknown,United Kingdom,,,Ricky Gibson,23rd March 2008 (13 years ago),,,
10962,unknown,"Paisley, Renfrewshire, Scotland (United Kingdom)",8th September 1986 (age 35),,Craig Byers,23rd March 2008 (13 years ago),,145 lbs. (66 kg) at 5'8'' (1.73 m),
10963,unknown,United Kingdom,,,Dr. Laandstrom,,,,
10966,unknown,"Greenville, South Carolina (United States of America)",1941,17th December 2020,Kitty Adams ,1958,,153 lbs. (69 kg) at 5'8'' (1.73 m),
10967,John William Witzig,"Golden Valley, Minnesota (United States of America)",25th January 1927,4th December 2001,Jack Witzig,,,229 lbs. (104 kg) at 6'2'' (1.88 m),
10969,John Medlin,,,,John Thundercloud,1996,,400 lbs. (181 kg) at 6'5'' (1.96 m),
10970,unknown,,,,Black Jack Slade,,,,
10972,unknown,,,,Lee Wong,,,,
10973,Giraldo Hierro Riera,,,,Giraldo Hierro,,,,
10974,Margarita Gaitan Strong,"Wimberley, Texas (United States of America)",8th February 1942,29th October 2008,Maria García ,1961,,,
10975,unknown,"Tampico, Tamaulipas (Mexico)",,,Demon Star,8th January 1990 (32 years ago),,174 lbs. (79 kg) at 5'6'' (1.68 m),
10977,unknown,Tamaulipas (Mexico),,,Bulldozer,1978,331 lbs. (150 kg),,
10978,unknown,Mexico,1991,,Turako Kid,??th December 2005,,141 lbs. (64 kg) at 5'3'' (1.60 m),
10979,unknown,"Nezahualcóyotl, Estado de México (Mexico)",,,Tigre Japonés,,,,
10980,Guasave Sinaloa,Mexico,15th September 1977 (age 44),,Lady Angel,2002,,,
10981,unknown,,,,Sybil Starr ,,,,
10982,unknown,"Edmonton, Alberta (Canada)",22nd February 1965 (age 57),,Mark Posey,,,229 lbs. (104 kg) at 5'9'' (1.75 m),
10983,unknown,"Flint, Flintshire, Wales (United Kingdom)",,,Boston Blackie,,238 lbs. (108 kg),,
10984,unknown,,,,Andy Chambers,,,,
10989,unknown,,,,Bobo Brown,??th August 1995,,260 lbs. (118 kg) at 6'0'' (1.83 m),
10990,Fillippo (Philip) Herman Marfuggi,"Newark, New Jersey (United States of America)",15th June 1911,17th October 1980,Phil Marfuggi,,,255 lbs. (116 kg) at 5'9'' (1.75 m),
10992,unknown,Newfoundland and Labrador (Canada),,,Black Eagle,,,174 lbs. (79 kg) at 5'11'' (1.80 m),
10993,unknown,Newfoundland and Labrador (Canada),,,Le Géant Golem,1995,,333 lbs. (151 kg) at 6'8'' (2.03 m),
10994,unknown,Quebec (Canada),,,Nightstalker,,,,
10995,unknown,New York (United States of America),,,TNT,12th December 1998 (23 years ago),,201 lbs. (91 kg) at 5'10'' (1.78 m),
10996,unknown,Quebec (Canada),,,Bishop,8th May 1999 (22 years ago),,220 lbs. (100 kg) at 5'9'' (1.75 m),
10997,unknown,Canada,,,Binovich Fouranov,9th September 2000 (21 years ago),,185 lbs. (84 kg) at 5'5'' (1.65 m),
10998,unknown,Quebec (Canada),,,Raid,,,,
10999,Jimmy Lemay,Quebec (Canada),,,James Kraven,10th February 2002 (20 years ago),,162 lbs. (73 kg) at 5'8'' (1.73 m),
11000,Christos Gabriel,"Laval, Quebec (Canada)",,,Tank,13th December 2003 (18 years ago),,330 lbs. (150 kg) at 5'10'' (1.78 m),
11001,Max Rendinella,"Montréal, Quebec (Canada)",,,Maxx Fury,,,175 lbs. (79 kg) at 5'3'' (1.60 m),
11002,unknown,"Montréal, Quebec (Canada)",,,Deniss Sensation,30th January 1999 (23 years ago),,135 lbs. (61 kg) at 5'6'' (1.68 m),
11003,unknown,Newfoundland and Labrador (Canada),,,Flat Face Jeremy,,,232 lbs. (105 kg) at 5'10'' (1.78 m),
11009,unknown,United Kingdom,,,Sebastian P. Sterling,,,240 lbs. (109 kg) at 6'6'' (1.98 m),
11010,Royce Carney,"Detroit, Michigan (United States of America)",31st August 1953,30th March 2021,Royce Carney,24th February 1981 (41 years ago),,,5'9'' (1.75 m)
11024,unknown,,,,Danie Voges,,,,
11025,unknown,Barbados,,,Earl Maynard,,,238 lbs. (108 kg) at 6'1'' (1.85 m),
11026,unknown,Portugal,1927,27th January 2020,Carlos Rocha,,254 lbs. (115 kg),,
11027,Nicholas C. Russo,"Passaic, New Jersey (United States of America)",12th April 1914,4th August 1978,Tony Martinelli,,,,
11028,unknown,Hungary,,,Zoltan Boscik,1954,,,
11029,unknown,"Stockton-on-Tees, Durham, England (United Kingdom)",,,Jim Stockdale,,,,
11030,unknown,"Manchester, Greater Manchester, England (United Kingdom)",,,Bill Benny,,,,
11033,Steve Gligorovic,,,,Heaven,,,240 lbs. (109 kg) at 6'3'' (1.91 m),
11034,Fabian Gauf,"Hofheim am Taunus, Hessen (Germany)",7th July 1990 (age 31),,Fabi,18th October 2008 (13 years ago),,165 lbs. (75 kg) at 6'2'' (1.88 m),
11036,Andrew Roil,Canada,,,2 Dam Hyp,??th June 1995,,218 lbs. (99 kg) at 6'1'' (1.85 m),
11037,unknown,,,,Carlo Milano,,,,
11038,Billy Chambers,United Kingdom,1936,26th August 2010,Jack Fallon,,,198 lbs. (90 kg) at 5'8'' (1.73 m),
11039,unknown,"London, Greater London, England (United Kingdom)",,,Charlie Fisher,1936,,,
11041,unknown,Istanbul (Turkey),,,Ray Fury,1961,,,
11044,unknown,"Tulancingo de Bravo, Hidalgo (Mexico)",24th July 1986 (age 35),,Pesadilla,30th March 2004 (17 years ago),,,
11047,unknown,,,,Tommy Titus,,,,
11049,Harry Cohen,"Kansas City, Missouri (United States of America)",12th February 1905,19th March 1973,Harry Cohen,,,221 lbs. (100 kg) at 5'5'' (1.65 m),
11050,Chad Belrose,,,,Chad Belrose,,,,
11051,unknown,"Leeds, West Yorkshire, England (United Kingdom)",,,Jeff Kaye,1962,,,
11052,unknown,"Dumfries, Dumfries and Galloway, Scotland (United Kingdom)",,,Ian Gilmour,1957,,,
11053,Harry Kendall,"London, Greater London, England (United Kingdom)",,30th December 2015,Harry Kendall,1958,,,
11054,unknown,,,,Kim Kendo,,,,
11055,unknown,"Portsmouth, Hampshire, England (United Kingdom)",,,Bob Kirkwood,,,,
11056,unknown,"Darlington, Durham, England (United Kingdom)",1940,,Ray Parkes,,,,
11057,unknown,"North Sydney, Nova Scotia (Canada)",2nd September 1978 (age 43),,Jack Johnson,2000,,210 lbs. (95 kg) at 5'11'' (1.80 m),
11058,unknown,"Leeds, West Yorkshire, England (United Kingdom)",,,Phil Pearson,,,,
11059,Gordon Allen,"Barnsley, South Yorkshire, England (United Kingdom)",,26th November 2010,Pedro the Gypsy,,,,
11060,Ronald Pennington,"Bolton, Greater Manchester, England (United Kingdom)",,2002,Ivan Penzecoff,,,,
11061,unknown,"York, North Yorkshire, England (United Kingdom)",,,John Cox,,252 lbs. (114 kg),,
11062,unknown,"London, Greater London, England (United Kingdom)",14th April 1921,XXXX,Johnny Peters,,,,
11063,unknown,"Bradford, West Yorkshire, England (United Kingdom)",,,Peter Preston,,,,
11065,unknown,"Halifax, West Yorkshire, England (United Kingdom)",,,John Ure,1961,,,
11067,unknown,"London, Greater London, England (United Kingdom)",,,Izzy Dutz,1932,,,
11068,unknown,Cape Town (South Africa),1934,,Fred Van Lotter,1959,,,
11069,Carl Van Wurden,Canada,,,Carl Van Wurden,,,,
11070,unknown,"Perth, Western Australia (Australia)",1929,,Bill Verna,,280 lbs. (127 kg),,
11071,unknown,United Kingdom,1932,17th September 1989,Don Vines,,,,6'0'' (1.83 m)
11072,unknown,,,,Tom George,,,,
11073,unknown,"Lanchester, Durham, England (United Kingdom)",10th January 1916,XXXX,Jack Quesick,1930,168 lbs. (76 kg),,
11074,Claude Raymond Perfect,,17th June 1938,16th March 2010,Joe Queseck,,,,
11077,unknown,"Abergavenny, Monmouthshire, Wales (United Kingdom)",,9th July 2018,Bert Alliday,,,,
11078,unknown,"London, Greater London, England (United Kingdom)",30th October 1942 (age 79),,Gordon Quirey,,,,
11079,unknown,,,,Danny O'Rourke,,,,
11080,unknown,,,,Ricardo Torres,,,,
11081,unknown,"Leicester, Leicestershire, England (United Kingdom)",,,Jon Lapaque,1961,,,
11082,unknown,"Leicester, Leicestershire, England (United Kingdom)",,,Pete Lapaque,,,,
11083,unknown,,,,Dave Larsen,,,,
11084,John Lees,"Stalybridge, Greater Manchester, England (United Kingdom)",,,John Lees,,,,
11085,Albéric d'Éricourt,"Audincourt, Bourgogne-Franche-Comté (France)",25th September 1943,16th December 2005,Le Petit Prince,,,,
11086,Charles Terrance Yorkston,Canada,1932,7th August 2011,Terry Yorkston,,,,
11087,unknown,"Manchester, Greater Manchester, England (United Kingdom)",,,Jim Lewis,,,,
11088,Dennis Lord,"Tynemouth, Tyne and Wear, England (United Kingdom)",,,Dennis Lord,1963,,,
11089,unknown,"Manchester, Greater Manchester, England (United Kingdom)",9th January ???,29th May 2007,Danny Lynch,,,254 lbs. (115 kg) at 5'8'' (1.73 m),
11090,unknown,,,,El Toro Maldonado,,,,
11091,unknown,,,17th August 1961,The Ghoul,1945,,,
11093,Peter Abe Ginsberg,United Kingdom,31st December 1936 (age 85),,Abe Ginsberg,,,,
11094,unknown,"Barnsley, South Yorkshire, England (United Kingdom)",,,Butcher Goodman,1950,,,
11095,Gregory G. Peterson,,28th June 1932,21st July 2001,Greg Peterson,,,,
11096,Bobbie Wells,,,14th July 2001,Bobbie Peterson ,,,,
11097,Raymond Donald Ouderkirk,"Gary, Indiana (United States of America)",22nd July 1924,18th May 1994,Don Kirk,1943,,225 lbs. (102 kg) at 5'10'' (1.78 m),
11098,unknown,,1930,4th December 1987,Betty Jo Hawkins ,,,,
11099,Ermete Poggi,"Ovada, Piemonte (Italy)",23rd January 1902,30th August 1988,Gorilla Poggi,,,185 lbs. (84 kg) at 5'6'' (1.68 m),
11100,unknown,Mexico,,,El Mimo,,,,
11102,unknown,,,,Mark Gjoka,,,,
11103,unknown,,,,Greg Spitz,,,,
11104,Luis Narváez,Mexico,,,El Charro,2006,,,
11109,unknown,,,,Adam Reynolds,,,,
11110,Carter Grey,"LaGrange, Indiana (United States of America)",26th August 1986 (age 35),,Carter Grey,2002,,187 lbs. (85 kg) at 5'9'' (1.75 m),
11112,Brian Bell,"Blyth, Northumberland, England (United Kingdom)",,,Assassin,,253 lbs. (115 kg),,
11115,unknown,"Kent, England (United Kingdom)",,,Leon Murphy,,,,
11116,unknown,,,,Mike Edwards,,,,
11117,unknown,United Kingdom,,,Mudak the Magnificent,,,224 lbs. (102 kg) at 5'8'' (1.73 m),
11119,unknown,"London, Greater London, England (United Kingdom)",,,Kurupt,2000,,225 lbs. (102 kg) at 6'5'' (1.96 m),
11120,Ian Meehan,Ireland,,,The Supermodel,2008,,218 lbs. (99 kg) at 6'1'' (1.85 m),
11122,Richard Batt,"Middlesbrough, North Yorkshire, England (United Kingdom)",27th May 1985 (age 36),,Jayson Mayson,2001,,,
11123,unknown,,,,Mike Doggendorf,,,289 lbs. (131 kg) at 6'4'' (1.93 m),
11124,unknown,,,,Kyle Haystacks,,,,
11126,unknown,,,,Ron Sanders,,,,
11127,unknown,"Blackpool, Lancashire, England (United Kingdom)",16th January 1944 (age 78),,Mike Eagers,1965,,,
11128,unknown,,,,Dick the Doormouse,,,,
11129,unknown,"Dundee, Dundee, Scotland (United Kingdom)",,,Jim Elder,,,,
11130,Jim Foy,"Bolton, Greater Manchester, England (United Kingdom)",26th March 1914,2000,Elmo the Great,,,,
11131,unknown,"Greater Manchester, England (United Kingdom)",1931,??th July 2014,Ken Else,,,,
11132,unknown,"Wolverhampton, West Midlands, England (United Kingdom)",,,Johnny England,,,,
11133,unknown,,,,Sam Evans,1962,,,
11134,Jacobo Rossi Sarrat,Spain,31st December 1938 (age 83),,Jacomo Jacobo,,,,
11135,unknown,"London, Greater London, England (United Kingdom)",5th February 1922 (age 100),,David Jons,1947,,,
11137,unknown,,,,Hillbilly Pete,,,,
11138,Josh Hendricks,"Dennison, Ohio (United States of America)",28th August 1976 (age 45),,Josh Hendricks,30th October 2002 (19 years ago),,240 lbs. (109 kg) at 6'2'' (1.88 m),
11139,unknown,"Wakefield, West Yorkshire, England (United Kingdom)",3rd March 1938 (age 84),,Terry Jowett,,,,
11141,unknown,"Winnipeg, Manitoba (Canada)",16th July 1926 (age 95),,Doug Joyce,,,,
11142,unknown,"Rushden, Northamptonshire, England (United Kingdom)",26th April 1923 (age 98),,Ken Joyce,,,,
11143,Pedro Gonzales,,27th June 1947,2nd June 2002,Pete McKay,,,,
11145,Godjo Kovacevich,Bosnia and Herzegovina,3rd November 1902,8th January 1989,George Koverly,,,235 lbs. (107 kg) at 6'2'' (1.88 m),
11146,George Mitchell,,,,Chief Chewchki,,,,
11149,unknown,"Guadalajara, Jalisco (Mexico)",,,Príncipe Unlimited,23rd November 1998 (23 years ago),,167 lbs. (76 kg) at 5'9'' (1.75 m),
